source	target
FKBP2	BST2
FKBP2	C19orf10
FKBP2	DOHH
FKBP2	PDIA3
FKBP2	PMVK
FKBP2	RAB13
FKBP2	RCC1
FKBP2	SLC39A7
AHSP	CA1
FADS3	FSTL3
FADS3	LMNA
FADS3	NGLY1
FADS3	SPRY4
FADS3	TRIM41
ACSF2	CABLES1
GADD45GIP1	JAGN1
GADD45GIP1	USE1
GADD45GIP1	AAMDC
GADD45GIP1	FBXO6
GADD45GIP1	PARK7
GADD45GIP1	COMMD1
GADD45GIP1	CCDC107
GADD45GIP1	LAMTOR2
GADD45GIP1	WBSCR22
DUSP26	WDTC1
DUSP26	NPTX2
DUSP26	EPOR
DUSP26	ABCB9
DUSP26	BNC1
DUSP26	EFNA3
TAF10	BLOC1S1
TAF10	DRAP1
TAF10	MIEN1
TAF10	TRAPPC5
TAF10	COQ4
TAF10	LINC00597
TAF10	SSR4
TAF10	MYO9A
